"app_id","supported_languages"
"552520","Arabic"
"552520","Russian"
"552520","Italian"
"883710","German"
"883710","English"
"883710","French"
"883710","Portuguese - Brazil"
"883710","Traditional Chinese"
"883710","Thai"
"883710","Korean"
"883710","Spanish - Spain"
"883710","Polish"
"883710","Japanese"
"883710","Simplified Chinese"
"883710","Arabic"
"883710","Spanish - Latin America"
"883710","Russian"
"883710","Italian"
"812140","Czech"
"812140","German"
"812140","English"
"812140","French"
"812140","Portuguese - Brazil"
"812140","Traditional Chinese"
"812140","Korean"
"812140","Dutch"
"812140","Spanish - Spain"
"812140","Polish"
"812140","Simplified Chinese"
"812140","Japanese"
"812140","Arabic"
"812140","Russian"
"812140","Italian"
"1222670","Czech"
"1222670","German"
"1222670","English"
"1222670","French"
"1222670","Portuguese - Brazil"
"1222670","Finnish"
"1222670","Traditional Chinese"
"1222670","Korean"
"1222670","Danish"
"1222670","Spanish - Spain"
"1222670","Dutch"
"1222670","Norwegian"
"1222670","Swedish"
"1222670","Polish"
"1222670","Simplified Chinese"
"1222670","Japanese"
"1222670","Russian"
"1222670","Italian"
"1229490","English"
"1222140","German"
"1222140","Portuguese - Brazil"
"1222140","Spanish - Spain"
"1222140","Norwegian"
"1222140","Arabic"
"1222140","Russian"
"1222140","Italian"
"1222140","Turkish"
"1222140","Dutch"
"1222140","English"
"1222140","Traditional Chinese"
"1222140","Spanish - Latin America"
"1222140","Danish"
"1222140","Hungarian"
"1222140","Japanese"
"1222140","Czech"
"1222140","Finnish"
"1222140","French"
"1222140","Korean"
"1222140","Swedish"
"1222140","Polish"
"1222140","Greek"
"1222140","Simplified Chinese"
"1222140","Portuguese - Portugal"
"2694490","German"
"2694490","English"
"2694490","French"
"2694490","Portuguese - Brazil"
"2694490","Thai"
"2694490","Korean"
"2694490","Spanish - Spain"
"2694490","Japanese"
"2694490","Russian"
"588650","German"
"588650","English"
"588650","French"
"588650","Portuguese - Brazil"
"588650","Traditional Chinese"
"588650","Korean"
"588650","Spanish - Spain"
"588650","Polish"
"588650","Japanese"
"588650","Simplified Chinese"
"588650","Turkish"
"588650","Spanish - Latin America"
"588650","Russian"
"588650","Italian"
"588650","Portuguese - Portugal"
"1716740","German"
"1716740","English"
"1716740","French"
"1716740","Portuguese - Brazil"
"1716740","Spanish - Spain"
"1716740","Polish"
"1716740","Simplified Chinese"
"1716740","Japanese"
"1716740","Italian"
"211820","English"
"2183900","Czech"
"2183900","German"
"2183900","English"
"2183900","French"
"2183900","Portuguese - Brazil"
"2183900","Traditional Chinese"
"2183900","Ukrainian"
"2183900","Korean"
"2183900","Thai"
"2183900","Spanish - Spain"
"2183900","Polish"
"2183900","Simplified Chinese"
"2183900","Japanese"
"2183900","Turkish"
"2183900","Spanish - Latin America"
"2183900","Russian"
"2183900","Italian"
"813780","German"
"813780","English"
"813780","French"
"813780","Portuguese - Brazil"
"813780","Traditional Chinese"
