"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"1612620","3.47","612","4295","42776.0","24.962994","254","3329","419","103","175","15"
"984780","0.0","1","0","392063.0","52.41237","0","0","0","0","0","0"
"1071120","4.0","6","20","313787.0","55.15644","4","2","11","3","0","0"
"957790","2.9","314","2185","614954.0","26.353754","75","1609","85","142","223","51"
"1605010","0.0","2","29","622529.0","53.93051","0","26","1","0","2","0"
"791470","3.62","21","356","64275.0","68.05503","12","321","9","3","9","2"
"1907590","0.0","0","1","1000080.0","70.297386","0","1","0","0","0","0"
"803980","3.44","8","124","63036.0","73.998474","4","109","4","3","3","1"
"2455060","0.0","2","15","964351.0","63.598583","1","10","1","1","1","1"
"1913210","0.0","5","23","836441.0","85.41492","4","10","4","1","3","1"
"960980","3.57","30","275","254652.0","101.58118","24","193","27","24","6","1"
"2017080","0.0","1","38","971923.0","101.55879","9","22","1","4","2","0"
"641960","3.89","9","123","29248.0","66.760796","1","108","4","0","7","3"
"810670","2.31","35","271","62654.0","67.489746","10","240","11","2","8","0"
"1626890","0.0","0","8","635338.0","81.152145","0","7","0","1","0","0"
"448370","2.18","10","148","17773.0","61.083763","4","134","6","0","4","0"
"2134770","3.62","24","96","914788.0","76.72522","14","39","18","16","8","1"
"1022310","2.31","48","1909","312668.0","50.2938","94","1793","2","0","16","4"
"447120","3.36","55","1192","43534.0","86.34153","147","932","14","49","41","9"
"979080","0.0","3","7","274817.0","58.10824","2","2","2","1","0","0"
"2328750","3.43","7","64","690824.0","73.121635","6","52","2","2","2","0"
"257030","3.99","271","1900","47234.0","36.65654","202","1321","139","88","122","28"
"948830","0.0","0","19","295060.0","43.443695","2","17","0","0","0","0"
"2271930","0.0","0","1","992098.0","50.04592","0","1","0","0","0","0"
"1456760","0.0","1","26","981888.0","54.277073","2","14","2","7","1","0"
"951000","0.0","0","4","791804.0","57.18272","1","3","0","0","0","0"
"1769170","0.0","3","9","502118.0","75.842865","1","3","2","2","1","0"
"2515240","3.25","7","34","964298.0","64.381744","2","13","12","5","2","0"
"1401730","0.0","1","3","1001218.0","57.98378","0","1","0","1","1","0"
"2124380","0.0","0","29","898430.0","68.576416","1","27","0","0","1","0"
"581660","2.63","34","427","46153.0","81.32677","65","280","16","37","24","5"
"1947500","3.81","70","1000","379453.0","51.05827","61","793","26","64","40","16"
"976390","0.0","3","51","288680.0","98.404945","4","36","4","4","0","3"
