"app_id","total_reactions","reaction_1","reaction_2","reaction_3","reaction_4","reaction_5","reaction_6","reaction_7","reaction_8","reaction_9","reaction_10","reaction_11","reaction_12","reaction_13","reaction_15","reaction_16","reaction_17","reaction_19","reaction_20","reaction_21"
"349040","18","1","1","2","2","1","1","1","2","1","1","2","1","0","0","1","1","0","0","0"
"1407200","9","0","0","1","2","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0"
"582660","4","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"311690","11","0","3","2","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1366540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"962130","14","1","1","1","1","1","1","2","2","1","1","1","1","0","0","0","0","0","0","0"
"1248130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"753640","44","12","0","1","2","1","5","4","0","5","6","0","8","0","0","0","0","0","0","0"
"714010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"683320","20","6","0","2","0","0","0","6","0","0","1","1","3","0","0","1","0","0","0","0"
"635260","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"1274570","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"550650","4","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0"
"2001120","9","2","1","2","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0"
"1466860","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"815370","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1150690","7","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0"
"1454400","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"1888930","12","3","1","2","0","0","0","0","0","0","2","1","0","0","1","1","0","0","1","0"
"750920","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"881100","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1113000","20","4","1","1","1","0","1","2","0","0","1","5","4","0","0","0","0","0","0","0"
"1203620","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1888160","12","1","1","1","0","0","2","0","0","0","0","1","1","1","1","0","0","1","1","1"
"240720","8","1","0","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","0","1"
"397900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2399830","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"602960","3","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"2669320","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"787860","5","0","0","1","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"620980","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"588430","10","0","0","1","1","0","0","1","0","1","0","0","1","0","2","3","0","0","0","0"
"636480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"949230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
