"app_id","platform_names"
"805550","PC"
"805550","PlayStation"
"805550","Xbox"
"745920","PC"
"745920","PlayStation"
"745920","Xbox"
"745920","Nintendo"
"1128810","PC"
"1128810","Apple Macintosh"
"1128810","iOS"
"1128810","Android"
"322500","Apple Macintosh"
"322500","Linux"
"322500","Nintendo"
"322500","PC"
"322500","Web"
"322500","PlayStation"
"322500","Xbox"
"2551020","PC"
"1178830","PC"
"1178830","PlayStation"
"1178830","Xbox"
"1178830","Nintendo"
"544810","iOS"
"228380","Nintendo"
"228380","Android"
"228380","PC"
"228380","PlayStation"
"228380","iOS"
"228380","Xbox"
"884660","PC"
"884660","PlayStation"
"884660","Xbox"
"895400","PC"
"1184370","Apple Macintosh"
"1184370","Nintendo"
"1184370","PC"
"1184370","PlayStation"
"1184370","Xbox"
"611500","PC"
"668580","PC"
"668580","PlayStation"
"668580","Xbox"
"2420510","PC"
"675010","Nintendo"
"675010","Android"
"675010","PC"
"675010","PlayStation"
"675010","Xbox"
"1210320","PC"
"1210320","Xbox"
"412220","PC"
"1462040","PC"
"1462040","PlayStation"
"554620","Apple Macintosh"
"554620","Linux"
"554620","Android"
"554620","PC"
"554620","PlayStation"
"554620","iOS"
"554620","Xbox"
"787480","Nintendo"
"787480","PC"
"787480","PlayStation"
"787480","iOS"
"787480","Xbox"
"418240","Apple Macintosh"
"418240","Linux"
"418240","PC"
"418240","PlayStation"
"418240","Xbox"
"2021910","PC"
"1971870","PC"
"1971870","PlayStation"
"1971870","Xbox"
"1971870","Nintendo"
"1296830","PC"
"207140","Apple Macintosh"
"207140","Linux"
"207140","Nintendo"
"207140","PC"
"207140","PlayStation"
"207140","Xbox"
"1557740","PC"
"1244460","PC"
"1244460","PlayStation"
"1244460","Xbox"
"532210","Apple Macintosh"
"532210","Linux"
"532210","Nintendo"
"532210","PC"
"532210","PlayStation"
"532210","Xbox"
"438040","PC"
"438040","Apple Macintosh"
"438040","Android"
"2321470","PC"
"1562700","PC"
"383980","PC"
"383980","Xbox"
"475150","PC"
"1135690","Apple Macintosh"
"1135690","Linux"
"1135690","Nintendo"
"1135690","PC"
"1135690","PlayStation"
"1135690","Xbox"
"1241100","PC"
"326460","Apple Macintosh"
"326460","Linux"
"326460","PC"
"326460","PlayStation"
"326460","iOS"
"326460","Xbox"
"485510","PC"
"485510","PlayStation"
"2679460","PC"
"2679460","PlayStation"
"2679460","Xbox"
"740130","PC"
"740130","PlayStation"
"740130","Xbox"
"1282730","Apple Macintosh"
"1282730","Linux"
"1282730","Nintendo"
"1282730","Android"
"1282730","PC"
