"app_id","full_audio_languages"
"1030840","French"
"1030840","Traditional Chinese"
"1030840","Spanish - Spain"
"1030840","Russian"
"1030840","Italian"
"952060","German"
"952060","English"
"952060","French"
"952060","Spanish - Spain"
"952060","Japanese"
"952060","Simplified Chinese"
"952060","Spanish - Latin America"
"952060","Italian"
"383870","Japanese"
"383870","English"
"349040","Traditional Chinese"
"349040","English"
"349040","Spanish - Spain"
"349040","Portuguese - Brazil"
"1407200","Czech"
"1407200","German"
"1407200","English"
"1407200","French"
"1407200","Portuguese - Brazil"
"1407200","Ukrainian"
"1407200","Korean"
"1407200","Polish"
"1407200","Simplified Chinese"
"1407200","Japanese"
"1407200","Spanish - Latin America"
"1407200","Russian"
"1407200","Turkish"
"582660","English"
"582660","Traditional Chinese"
"582660","Japanese"
"582660","Spanish - Latin America"
"582660","Russian"
"962130","Japanese"
"962130","Arabic"
"962130","English"
"753640","English"
"753640","Turkish"
"1274570","Ukrainian"
"1274570","English"
"550650","English"
"550650","Spanish - Latin America"
"2001120","German"
"2001120","English"
"2001120","French"
"2001120","Traditional Chinese"
"2001120","Spanish - Spain"
"2001120","Simplified Chinese"
"2001120","Japanese"
"2001120","Italian"
"1466860","German"
"1466860","English"
"1466860","French"
"1466860","Portuguese - Brazil"
"1466860","Korean"
"1466860","Spanish - Spain"
"1466860","Malay"
"1466860","Simplified Chinese"
"1466860","Spanish - Latin America"
"1466860","Italian"
"815370","Simplified Chinese"
"815370","Indonesian"
"815370","English"
"1454400","Czech"
"1454400","German"
"1454400","English"
"1454400","French"
"1454400","Portuguese - Brazil"
"1454400","Korean"
"1454400","Dutch"
"1454400","Spanish - Spain"
"1454400","Danish"
"1454400","Norwegian"
"1454400","Polish"
"1454400","Simplified Chinese"
"1454400","Japanese"
"1454400","Spanish - Latin America"
"1454400","Russian"
"1454400","Italian"
"1454400","Portuguese - Portugal"
"1888930","English"
"1888930","German"
"1888930","French"
"1888930","Portuguese - Brazil"
"1888930","Spanish - Spain"
"1888930","Croatian"
"1888930","Polish"
"1888930","Greek"
"1888930","Japanese"
"1888930","Turkish"
"1888930","Spanish - Latin America"
"1888930","Russian"
"1888930","Italian"
"1888930","Portuguese - Portugal"
"750920","German"
"750920","English"
"750920","French"
"750920","Portuguese - Brazil"
"750920","Traditional Chinese"
"750920","Spanish - Spain"
"750920","Polish"
"750920","Simplified Chinese"
"750920","Arabic"
"750920","Russian"
"750920","Italian"
"1113000","Japanese"
"1113000","English"
"1113000","Simplified Chinese"
"1888160","Traditional Chinese"
"1888160","Japanese"
"1888160","English"
"240720","Simplified Chinese"
"240720","English"
"2399830","English"
"2399830","Turkish"
"2669320","German"
"2669320","English"
"2669320","French"
"2669320","Portuguese - Brazil"
"2669320","Korean"
"2669320","Dutch"
"2669320","Spanish - Spain"
"2669320","Turkish"
"2669320","Polish"
"2669320","Simplified Chinese"
"2669320","Japanese"
"2669320","Arabic"
"2669320","Spanish - Latin America"
"2669320","Russian"
"2669320","Italian"
"620980","German"
"620980","English"
"620980","French"
"620980","Korean"
"620980","Spanish - Spain"
"620980","Japanese"
"620980","Spanish - Latin America"
"638970","Japanese"
"414340","English"
"414340","Turkish"
"678950","Japanese"
"678950","English"
"678950","Spanish - Latin America"
"1363080","Ukrainian"
"1363080","English"
"1237950","German"
"1237950","English"
"1237950","French"
"1237950","Portuguese - Brazil"
"1237950","Traditional Chinese"
"1237950","Spanish - Spain"
"1237950","Polish"
"1237950","Spanish - Latin America"
"1237950","Italian"
"1238860","German"
"1238860","English"
"1238860","French"
"1238860","Portuguese - Brazil"
"1238860","Spanish - Spain"
"1238860","Polish"
"1238860","Japanese"
"1238860","Russian"
"1238860","Italian"
"924970","German"
"924970","English"
"924970","French"
"924970","Portuguese - Brazil"
"924970","Spanish - Spain"
"924970","Turkish"
"924970","Spanish - Latin America"
"924970","Italian"
"1286830","German"
"1286830","English"
"1286830","French"
"424370","Japanese"
"424370","English"
"1774580","German"
"1774580","English"
"1774580","French"
"1774580","Portuguese - Brazil"
"1774580","Traditional Chinese"
"1774580","Spanish - Spain"
"1774580","Polish"
"1774580","Japanese"
"1774580","Spanish - Latin America"
"1774580","Italian"
"1304930","Traditional Chinese"
"1304930","English"
"1304930","French"
"1404210","English"
"1404210","Portuguese - Brazil"
"2622380","Traditional Chinese"
"2622380","English"
"1250410","German"
"1250410","English"
"1250410","French"
"1250410","Portuguese - Brazil"
"1250410","Swedish"
"1790600","Thai"
"1790600","Japanese"
"1790600","English"
"2215430","German"
"2215430","English"
"2215430","French"
"2215430","Portuguese - Brazil"
"2215430","Spanish - Spain"
"2215430","Croatian"
"2215430","Polish"
"2215430","Japanese"
"2215430","Spanish - Latin America"
"2215430","Russian"
"2215430","Italian"
"2215430","Portuguese - Portugal"
"1049590","Japanese"
"1049590","Korean"
"1049590","English"
"1049590","Portuguese - Brazil"
"489520","Traditional Chinese"
